"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
0,2385,0.01412002,0.01149793,0.009954246,0.006964982,0.009367445
0,2400,0.01337704,0.01087564,0.009415504,0.006587876,0.008860392
0,2415,0.01267537,0.01028905,0.008907667,0.006232405,0.008382427
0,2430,0.01201264,0.009736036,0.008428899,0.005897284,0.007931823
0,2445,0.01138655,0.009214574,0.007977447,0.005581286,0.007506928
0,2460,0.01079501,0.008722799,0.007551697,0.005283282,0.007106225
0,2475,0.01023603,0.008258947,0.007150121,0.0050022,0.006728276
0,2490,0.009707728,0.007821369,0.006771291,0.004737041,0.006371735
0,2505,0.009208355,0.007408514,0.006413864,0.004486866,0.006035339
0,2520,0.008736255,0.007018923,0.006076579,0.004250791,0.005717901
0,2535,0.008289877,0.006651237,0.005758258,0.004027991,0.005418311
0,2550,0.007867752,0.006304162,0.00545778,0.003817681,0.005135516
0,2565,0.007468496,0.005976488,0.005174099,0.00361913,0.00486853
0,2580,0.007090824,0.005667091,0.004906241,0.003431655,0.004616437
0,2595,0.006733502,0.005374892,0.004653272,0.003254603,0.004378357
0,2610,0.006395391,0.005098899,0.004414333,0.003087372,0.004153481
0,2625,0.006075407,0.00483817,0.004188609,0.002929391,0.003941044
0,2640,0.005772532,0.004591818,0.003975332,0.002780123,0.003740322
0,2655,0.005485814,0.00435902,0.003773789,0.002639069,0.003550643
0,2670,0.005214349,0.004138994,0.003583303,0.002505754,0.003371371
0,2685,0.004957292,0.003931008,0.003403241,0.002379736,0.00320191
0,2700,0.004713843,0.003734374,0.003233006,0.002260597,0.003041699
0,2715,0.004483248,0.003548443,0.003072037,0.002147943,0.002890208
0,2730,0.0042648,0.003372607,0.002919809,0.002041408,0.002746943
0,2745,0.004057829,0.003206291,0.002775822,0.001940641,0.002611435
0,2760,0.003861703,0.003048955,0.002639609,0.001845315,0.002483244
0,2775,0.003675831,0.002900093,0.002510733,0.001755125,0.002361958
0,2790,0.003499649,0.002759223,0.002388777,0.001669778,0.002247184
0,2805,0.003332631,0.002625901,0.002273354,0.001589004,0.002138559
0,2820,0.003174279,0.0024997,0.002164096,0.001512546,0.002035738
0,2835,0.003024122,0.002380222,0.002060659,0.001440161,0.001938393
0,2850,0.002881719,0.002267094,0.001962719,0.001371624,0.001846223
0,2865,0.00274665,0.00215996,0.001869969,0.00130672,0.001758937
0,2880,0.002618522,0.00205849,0.001782122,0.001245247,0.001676266
