"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
0,1695,1.367616,1.300496,1.125895,0.7783018,1.055065
0,1710,1.322095,1.25681,1.088073,0.7521563,1.019623
0,1725,1.278116,1.214623,1.051551,0.7269085,0.9853973
0,1740,1.235624,1.173882,1.016279,0.7025254,0.9523442
0,1755,1.194569,1.134536,0.9822157,0.6789777,0.9204235
0,1770,1.154902,1.096538,0.9493191,0.6562366,0.8895962
0,1785,1.116576,1.059839,0.9175479,0.6342735,0.8598235
0,1800,1.079541,1.024393,0.8868608,0.6130598,0.8310667
0,1815,1.043755,0.9901575,0.8572213,0.5925704,0.8032916
0,1830,1.009176,0.9570897,0.8285931,0.57278,0.7764641
0,1845,0.9757617,0.9251489,0.8009406,0.5536643,0.7505511
0,1860,0.9434711,0.894295,0.7742292,0.535199,0.7255199
0,1875,0.9122662,0.8644905,0.7484261,0.5173617,0.70134
0,1890,0.8821095,0.8356984,0.7234995,0.5001304,0.6779814
0,1905,0.8529649,0.8078836,0.699419,0.4834839,0.6554157
0,1920,0.8247984,0.7810123,0.6761554,0.4674022,0.6336156
0,1935,0.7975758,0.7550512,0.6536798,0.4518652,0.6125538
0,1950,0.7712644,0.7299684,0.6319646,0.4368538,0.5922045
0,1965,0.7458332,0.7057333,0.6109833,0.4223498,0.572543
0,1980,0.7212527,0.6823173,0.5907111,0.408336,0.5535461
0,1995,0.6974935,0.6596916,0.571123,0.3947951,0.5351903
0,2010,0.6745274,0.6378286,0.5521953,0.3817108,0.5174533
0,2025,0.6523276,0.6167022,0.5339053,0.3690673,0.5003138
0,2040,0.6308681,0.5962872,0.5162311,0.3568496,0.4837515
0,2055,0.6101239,0.5765589,0.4991515,0.3450428,0.4677464
0,2070,0.5900706,0.557494,0.4826462,0.333633,0.4522793
0,2085,0.570685,0.5390695,0.4666953,0.3226066,0.4373319
0,2100,0.5519443,0.5212636,0.45128,0.3119504,0.4228864
0,2115,0.5338268,0.5040551,0.4363818,0.3016516,0.4089254
0,2130,0.5163115,0.4874235,0.4219832,0.2916982,0.3954326
0,2145,0.4993781,0.4713491,0.4080669,0.2820782,0.3823918
